LatinName	CommonName
Bos_taurus	Bovin
Balaenoptera_musculus	Baleine bleue
Orcinus_orca	Orque
Tursiops_truncatus	Grand dauphin
Equus_caballus	Cheval
Homo_sapiens	Homme
Pan_troglodytes	Chimpanzé
Gorilla_gorilla	Gorille
Trichechus_inunguis	Lamantin
Elephas_maximus	Éléphant d'Asie
Loxodonta_africana	Éléphant d'Afrique
Castor_fiber	Castor
Mus_musculus	Souris
Rattus_rattus	Rat
Gallus_gallus	Poulet
Aquila_heliaca	Aigle
Lacerta_bilineata	Lézard
Dermochelys_coriacea	Tortue
Epinephelus_marginatus	Mérou
Heterodontus_francisci	Requin
Thunnus_atlanticus	Thon noir
Salmo_salar	Saumon
Xiphias_gladius	Espadon
Rastrelliger_brachysoma	Maquereau